[01:08:38] [info] TESSERACT: Initializing Tesseract Engine...
[01:08:38] [info] TESSERACT: Creating window Tesseract Sandbox (1280, 720)
[01:08:38] [info] TESSERACT: OpenGL Info:
[01:08:38] [info] TESSERACT:   Vendor: Intel
[01:08:38] [info] TESSERACT:   Renderer: Mesa Intel(R) UHD Graphics 630 (CFL GT2)
[01:08:38] [info] TESSERACT:   Version: 4.6 (Core Profile) Mesa 23.2.1-1ubuntu3.1~22.04.3
[01:08:38] [info] TESSERACT: TesseractApp created!
[01:08:38] [info] TESSERACT: SandboxLayer created!
[01:08:38] [info] TESSERACT: SandboxLayer attached!
[01:08:38] [info] TESSERACT: Starting main loop...
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:51] [trace] TESSERACT: Left mouse button pressed!
[01:08:53] [trace] TESSERACT: Left mouse button pressed!
[01:08:53] [trace] TESSERACT: Left mouse button pressed!
[01:08:53] [trace] TESSERACT: Left mouse button pressed!
[01:08:53] [trace] TESSERACT: Left mouse button pressed!
[01:08:53] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:54] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:55] [trace] TESSERACT: Left mouse button pressed!
[01:08:58] [trace] TESSERACT: Left mouse button pressed!
[01:08:58] [trace] TESSERACT: Left mouse button pressed!
[01:08:58] [trace] TESSERACT: Left mouse button pressed!
[01:08:58] [trace] TESSERACT: Left mouse button pressed!
[01:08:58] [trace] TESSERACT: Left mouse button pressed!
[01:09:00] [trace] TESSERACT: Left mouse button pressed!
[01:09:00] [trace] TESSERACT: Left mouse button pressed!
[01:09:00] [trace] TESSERACT: Left mouse button pressed!
[01:09:00] [trace] TESSERACT: Left mouse button pressed!
[01:09:00] [trace] TESSERACT: Left mouse button pressed!
[01:09:00] [trace] TESSERACT: Left mouse button pressed!
[01:09:00] [trace] TESSERACT: Left mouse button pressed!
[01:09:00] [trace] TESSERACT: Left mouse button pressed!
[01:09:00] [trace] TESSERACT: Left mouse button pressed!
[01:09:01] [trace] TESSERACT: Left mouse button pressed!
[01:09:01] [trace] TESSERACT: Left mouse button pressed!
[01:09:01] [trace] TESSERACT: Left mouse button pressed!
[01:09:01] [trace] TESSERACT: Left mouse button pressed!
[01:09:01] [trace] TESSERACT: Left mouse button pressed!
[01:09:09] [trace] TESSERACT: Left mouse button pressed!
[01:09:09] [trace] TESSERACT: Left mouse button pressed!
[01:09:09] [trace] TESSERACT: Left mouse button pressed!
[01:09:09] [trace] TESSERACT: Left mouse button pressed!
[01:09:09] [trace] TESSERACT: Left mouse button pressed!
[01:09:09] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:09] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:09] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:09] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:09] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:09] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:09] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:09] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:10] [trace] TESSERACT: Left mouse button pressed!
[01:09:10] [trace] TESSERACT: Left mouse button pressed!
[01:09:10] [trace] TESSERACT: Left mouse button pressed!
[01:09:10] [trace] TESSERACT: Left mouse button pressed!
[01:09:10] [trace] TESSERACT: Left mouse button pressed!
[01:09:10] [trace] TESSERACT: Left mouse button pressed!
[01:09:10] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:10] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:11] [trace] TESSERACT: W key pressed! (Timestep: %.4f s)
[01:09:12] [trace] TESSERACT: Left mouse button pressed!
[01:09:12] [trace] TESSERACT: Left mouse button pressed!
[01:09:12] [trace] TESSERACT: Left mouse button pressed!
[01:09:12] [trace] TESSERACT: Left mouse button pressed!
[01:09:12] [trace] TESSERACT: Left mouse button pressed!
[01:09:12] [trace] TESSERACT: Left mouse button pressed!
[01:09:12] [trace] TESSERACT: Left mouse button pressed!
[01:09:13] [trace] TESSERACT: Left mouse button pressed!
[01:09:13] [trace] TESSERACT: Left mouse button pressed!
[01:09:13] [trace] TESSERACT: Left mouse button pressed!
[01:09:13] [trace] TESSERACT: Left mouse button pressed!
[01:09:13] [trace] TESSERACT: Left mouse button pressed!
[01:09:13] [trace] TESSERACT: Left mouse button pressed!
[01:09:13] [trace] TESSERACT: Left mouse button pressed!
[01:09:13] [trace] TESSERACT: Left mouse button pressed!
[01:09:13] [trace] TESSERACT: Left mouse button pressed!
[01:09:13] [trace] TESSERACT: Left mouse button pressed!
[01:09:16] [info] TESSERACT: TesseractApp destroyed!
[01:09:16] [info] TESSERACT: Shutting down Tesseract Engine...
[01:09:16] [info] TESSERACT: SandboxLayer detached!
